Reason,Count
Hacim Yok (RVOL 0.5 < 2.0),24743
Hacim Yok (RVOL 0.4 < 2.0),24464
Hacim Yok (RVOL 0.6 < 2.0),22657
Hacim Yok (RVOL 0.3 < 2.0),21131
Hacim Yok (RVOL 0.7 < 2.0),19681
Hacim Yok (RVOL 0.8 < 2.0),17194
Hacim Yok (RVOL 0.9 < 2.0),14734
Hacim Yok (RVOL 0.2 < 2.0),13787
Hacim Yok (RVOL 1.0 < 2.0),12520
Hacim Yok (RVOL 1.1 < 2.0),10518
Hacim Yok (RVOL 1.2 < 2.0),9076
Hacim Yok (RVOL 1.3 < 2.0),7529
Hacim Yok (RVOL 1.4 < 2.0),6316
Hacim Yok (RVOL 0.1 < 2.0),5969
Hacim Yok (RVOL 1.5 < 2.0),5608
Hacim Yok (RVOL 1.6 < 2.0),4700
Hacim Yok (RVOL 1.7 < 2.0),4122
Trend Ters (Fiyat < 1H EMA50),3690
Hacim Yok (RVOL 1.8 < 2.0),3521
Hacim Yok (RVOL 1.9 < 2.0),3046
Zayıf Momentum (%-0.1),1514
Hacim Yok (RVOL 2.0 < 2.0),1466
Zayıf Momentum (%-0.2),1435
Zayıf Momentum (%0.1),1387
Zayıf Momentum (%-0.3),1261
Zayıf Momentum (%-0.4),1235
Zayıf Momentum (%0.2),1187
Zayıf Momentum (%-0.5),1099
Zayıf Momentum (%-0.6),987
Zayıf Momentum (%0.3),978
Zayıf Momentum (%-0.7),916
Zayıf Momentum (%0.4),873
Zayıf Momentum (%0.0),800
Zayıf Momentum (%-0.8),797
Zayıf Momentum (%-0.9),782
Hacim Yok (RVOL 0.0 < 2.0),665
Zayıf Momentum (%-0.0),627
Zayıf Momentum (%-1.0),613
Zayıf Momentum (%-1.1),540
Zayıf Momentum (%-1.2),458
Zayıf Momentum (%0.5),410
Zayıf Momentum (%-1.3),405
Zayıf Momentum (%-1.4),368
Zayıf Momentum (%-1.5),289
Zayıf Momentum (%-1.6),263
Zayıf Momentum (%-1.8),216
Zayıf Momentum (%-1.7),192
Zayıf Momentum (%-1.9),179
Zayıf Momentum (%-2.0),161
Zayıf Momentum (%-2.2),146
Zayıf Momentum (%-2.1),135
Zayıf Momentum (%-2.3),113
Zayıf Momentum (%-2.5),101
Zayıf Momentum (%-2.4),86
Zayıf Momentum (%-2.7),77
Zayıf Momentum (%-2.6),77
Zayıf Momentum (%-2.8),73
Zayıf Momentum (%-2.9),65
Zayıf Momentum (%-3.2),60
Zayıf Momentum (%-3.0),57
Zayıf Momentum (%-3.1),56
Zayıf Momentum (%-3.4),51
Zayıf Momentum (%-3.3),49
Zayıf Momentum (%-3.5),40
Zayıf Momentum (%-3.6),38
Zayıf Momentum (%-3.8),35
Zayıf Momentum (%-3.7),33
Zayıf Momentum (%-4.0),25
Zayıf Momentum (%-3.9),24
Zayıf Momentum (%-4.1),18
Zayıf Momentum (%-4.3),18
Zayıf Momentum (%-4.2),18
Zayıf Momentum (%-4.9),17
Zayıf Momentum (%-4.6),17
Zayıf Momentum (%-5.0),16
Zayıf Momentum (%-4.5),15
Zayıf Momentum (%-5.1),13
Zayıf Momentum (%-6.2),13
Zayıf Momentum (%-5.4),13
Zayıf Momentum (%-4.7),12
Zayıf Momentum (%-5.7),12
Zayıf Momentum (%-5.5),12
Zayıf Momentum (%-6.1),12
Zayıf Momentum (%-6.0),12
Zayıf Momentum (%-5.6),12
Zayıf Momentum (%-6.5),11
Zayıf Momentum (%-6.9),11
Zayıf Momentum (%-6.3),11
Zayıf Momentum (%-4.4),11
Zayıf Momentum (%-4.8),10
Zayıf Momentum (%-7.8),10
Zayıf Momentum (%-7.0),9
Zayıf Momentum (%-6.8),9
Zayıf Momentum (%-5.3),8
Zayıf Momentum (%-5.9),8
Zayıf Momentum (%-7.9),7
Zayıf Momentum (%-6.6),7
Zayıf Momentum (%-5.2),7
Zayıf Momentum (%-8.4),6
Zayıf Momentum (%-5.8),6
Zayıf Momentum (%-7.6),6
Zayıf Momentum (%-6.7),6
Zayıf Momentum (%-7.3),5
Zayıf Momentum (%-6.4),5
Zayıf Momentum (%-8.5),4
Zayıf Momentum (%-7.7),4
Zayıf Momentum (%-7.5),4
Zayıf Momentum (%-7.2),4
Zayıf Momentum (%-7.4),4
Zayıf Momentum (%-7.1),4
Zayıf Momentum (%-8.7),4
Zayıf Momentum (%-8.9),3
Zayıf Momentum (%-9.1),3
Zayıf Momentum (%-8.6),3
Zayıf Momentum (%-10.1),2
Zayıf Momentum (%-8.2),2
Zayıf Momentum (%-12.0),2
Zayıf Momentum (%-8.0),2
Zayıf Momentum (%-11.5),2
Zayıf Momentum (%-13.0),2
Zayıf Momentum (%-9.4),2
Zayıf Momentum (%-10.6),2
Zayıf Momentum (%-9.5),2
Zayıf Momentum (%-9.0),2
Zayıf Momentum (%-10.9),2
Zayıf Momentum (%-29.2),2
Zayıf Momentum (%-8.1),2
Zayıf Momentum (%-10.4),2
Zayıf Momentum (%-12.1),1
Zayıf Momentum (%-23.2),1
Zayıf Momentum (%-9.9),1
Zayıf Momentum (%-24.7),1
Zayıf Momentum (%-22.5),1
Zayıf Momentum (%-13.9),1
Zayıf Momentum (%-10.8),1
Zayıf Momentum (%-17.6),1
Zayıf Momentum (%-10.7),1
Zayıf Momentum (%-15.3),1
Zayıf Momentum (%-20.0),1
Zayıf Momentum (%-9.6),1
Zayıf Momentum (%-21.8),1
Zayıf Momentum (%-11.2),1
Zayıf Momentum (%-10.0),1
Zayıf Momentum (%-12.6),1
Zayıf Momentum (%-17.3),1
Zayıf Momentum (%-12.8),1
Zayıf Momentum (%-25.5),1
Zayıf Momentum (%-17.0),1
Zayıf Momentum (%-13.1),1
Zayıf Momentum (%-10.5),1
Zayıf Momentum (%-40.1),1
Zayıf Momentum (%-28.2),1
Zayıf Momentum (%-13.4),1
Zayıf Momentum (%-11.0),1
Zayıf Momentum (%-25.1),1
Zayıf Momentum (%-9.8),1
Zayıf Momentum (%-13.6),1
Zayıf Momentum (%-15.7),1
